Kutle_kg,Hiz_m_s,Kinetik_Enerji_Joule
944.79,4.87,11203.74
467.93,9.16,19630.97
613.8,15.19,70812.91
167.87,4.12,1424.75
991.18,14.19,99790.07
232.44,0.42,20.5
942.79,8.38,33103.43
650.0,15.52,78282.88
608.13,6.77,13936.18
513.18,11.27,32590.24
231.44,4.1,1945.25
177.35,14.84,19528.51
221.27,1.05,121.98
187.25,17.05,27217.02
779.8,3.96,6114.26
350.78,17.49,53651.82
58.78,7.05,1460.76
969.13,14.45,101178.38
883.9,6.38,17989.31
927.82,18.12,152317.61
994.91,2.53,3184.16
174.72,3.57,1113.39
396.85,9.86,19290.8
758.48,1.64,1020.0
696.32,3.92,5349.97
154.74,18.88,27578.88
816.02,19.53,155623.54
225.22,7.53,6385.09
224.59,18.47,38308.42
537.44,10.9,31926.62
593.35,5.39,8619.03
580.51,14.05,57297.06
92.4,13.18,8025.51
877.58,19.78,171675.89
266.33,5.3,3740.6
130.39,13.44,11776.41
888.86,1.04,480.7
955.7,2.27,2462.31
862.27,0.08,2.76
809.71,19.99,161780.1
655.59,16.05,84440.81
551.31,15.73,68206.12
87.9,10.19,4563.6
409.04,6.0,7362.72
373.32,3.03,1713.71
260.49,5.69,4216.83
723.7,7.52,20462.76
496.38,15.13,56814.89
81.97,10.79,4771.64
220.96,1.55,265.43
683.58,0.36,44.3
77.05,2.05,161.9
851.36,8.21,28692.58
495.65,18.66,86291.57
481.11,12.75,39105.22
592.82,16.04,76260.84
824.86,9.33,35901.58
348.46,7.23,9107.51
678.34,2.17,1597.12
566.17,17.52,86893.05
267.76,15.66,32832.14
878.75,3.36,4960.37
797.63,10.25,41900.5
658.79,9.75,31313.11
850.73,12.5,66463.28
867.43,18.92,155255.4
708.65,11.6,47677.97
837.18,10.8,48824.34
697.77,1.01,355.9
680.46,1.26,540.15
618.99,3.75,4352.27
752.96,0.65,159.06
159.45,14.87,17628.54
880.99,14.47,92231.24
871.97,2.72,3225.59
30.22,16.72,4224.13
825.99,3.1,3968.88
129.74,6.02,2350.91
335.78,4.98,4163.74
743.76,7.45,20640.27
161.6,5.09,2093.37
818.15,9.78,39127.37
832.3,8.15,27641.72
507.96,19.73,98867.53
7.38,1.12,4.63
287.75,2.84,1160.44
617.31,1.06,346.8
981.2,12.52,76901.75
632.18,1.09,375.55
260.54,16.73,36461.65
634.37,10.24,33259.26
540.45,10.54,30019.73
780.07,11.23,49188.44
107.87,3.42,630.85
761.27,3.95,5938.86
541.73,6.38,11025.4
963.03,11.87,67843.97
342.53,4.2,3021.11
632.99,2.33,1718.22
932.1,19.4,175402.58
103.41,0.44,10.01
937.29,16.05,120724.12
688.2,15.76,85466.73
68.77,5.94,1213.23
301.66,2.71,1107.71
708.46,2.91,2999.66
68.28,13.95,6643.73
582.59,12.86,48174.25
346.54,15.65,42437.72
621.29,18.75,109211.13
46.7,13.84,4472.59
871.67,3.12,4242.59
973.52,4.87,11544.44
968.91,16.84,137384.46
749.9,4.19,6582.66
130.96,1.45,137.67
758.5,14.07,75078.19
25.56,8.05,828.18
23.1,18.4,3910.37
324.29,13.01,27444.68
489.15,1.81,801.25
770.64,18.96,138515.45
683.61,5.17,9136.07
446.46,6.74,10140.8
274.35,8.05,8889.28
997.13,1.02,518.71
426.76,9.93,21040.31
451.94,2.47,1378.62
164.46,8.02,5289.07
795.01,7.01,19533.44
693.99,15.46,82935.83
221.55,16.06,28571.49
83.3,3.07,392.55
680.82,7.33,18289.85
654.86,7.47,18270.89
273.99,3.03,1257.74
950.91,15.97,121260.47
151.91,14.14,15186.41
432.9,3.81,3142.01
943.67,7.33,25351.18
420.31,2.12,944.52
638.89,12.56,50393.6
398.2,2.43,1175.67
274.94,19.72,53459.11
983.99,15.61,119885.45
409.92,7.8,12469.77
894.21,11.57,59851.67
230.72,18.23,38337.92
213.89,11.08,13129.25
32.1,3.49,195.49
652.02,7.57,18681.97
369.16,16.86,52468.64
864.49,12.88,71707.02
473.74,13.01,40092.64
968.23,17.34,145561.57
186.34,17.88,29785.93
868.75,18.4,147062.0
776.82,1.9,1402.16
771.15,10.88,45642.21
844.94,14.81,92662.92
761.26,15.14,87247.86
626.59,12.13,46097.26
132.11,3.34,736.88
33.49,15.95,4259.97
920.93,14.4,95482.02
617.03,1.72,912.71
796.74,9.28,34306.99
482.04,3.48,2918.85
118.19,6.75,2692.52
126.06,0.36,8.17
685.88,8.01,22003.06
430.88,11.0,26068.24
201.32,12.39,15452.53
492.1,13.27,43327.66
65.14,16.73,9116.11
582.39,4.31,5409.27
269.72,2.41,783.28
797.76,17.03,115683.54
311.05,3.13,1523.66
455.76,19.5,86651.37
12.61,16.85,1790.13
73.37,10.02,3683.19
393.1,19.63,75737.97
480.46,1.95,913.47
600.42,6.06,11024.79
292.37,12.76,23801.49
695.29,7.0,17034.6
860.26,18.57,148328.14
780.07,1.31,669.34
40.58,10.99,2450.63
481.03,11.82,33602.93
105.83,13.05,9011.56
242.8,5.11,3170.01
986.68,7.29,26218.11
143.35,16.87,20398.48
499.39,3.9,3797.86
618.54,16.54,84607.49
702.76,11.25,44471.53
560.09,15.24,65042.58
10.76,14.27,1095.55
327.13,4.15,2817.0
518.19,11.38,33553.94
88.78,17.35,13362.39
351.28,8.64,13111.46
34.17,19.33,6383.79
79.5,9.04,3248.43
397.53,2.86,1625.82
133.58,7.79,4053.09
567.97,19.03,102842.58
689.78,6.39,14082.58
800.79,17.36,120666.88
200.95,17.63,31229.33
168.32,7.0,4123.84
105.46,1.67,147.06
636.79,14.49,66850.25
706.77,6.23,13715.9
32.55,15.66,3991.21
936.28,8.85,36665.9
52.92,9.71,2494.76
541.76,15.56,65583.73
709.35,7.65,20756.47
871.1,8.86,34190.5
714.37,7.52,20198.95
801.93,7.35,21661.13
340.11,10.52,18820.05
815.01,16.18,106681.71
81.03,7.24,2123.7
894.92,10.49,49238.54
548.04,13.41,49276.5
817.48,5.39,11874.76
452.87,5.55,6974.76
643.93,18.67,112226.99
526.88,14.47,55159.3
731.86,11.54,48731.48
82.55,12.95,6921.92
61.29,0.59,10.67
247.86,12.36,18932.74
160.39,10.19,8327.14
871.91,10.91,51890.9
219.99,7.19,5686.31
975.89,1.63,1296.42
337.56,3.87,2527.8
182.94,19.01,33055.44
789.91,8.17,26362.81
659.05,9.33,28684.79
498.7,1.05,274.91
555.81,0.75,156.32
719.48,14.34,73975.35
229.23,10.76,13269.85
996.34,10.17,51525.18
974.82,4.86,11512.43
650.68,14.9,72228.73
200.34,3.36,1130.88
680.55,3.8,4913.57
73.13,9.21,3101.59
31.62,5.73,519.09
258.43,4.95,3166.09
463.16,12.9,38537.23
868.4,13.02,73605.76
727.44,16.49,98902.78
742.96,8.35,25900.51
426.07,1.46,454.11
346.59,5.47,5185.14
371.67,19.6,71390.37
987.66,11.93,70284.31
41.07,14.19,4134.85
867.16,0.15,9.76
579.1,10.36,31077.29
439.18,0.75,123.52
725.53,11.38,46979.66
487.18,18.42,82649.21
873.55,19.37,163876.63
900.8,10.81,52631.99
422.3,9.16,17716.67
277.55,18.9,49571.82
592.76,13.47,53775.45
912.45,1.3,771.02
211.45,9.31,9163.83
623.34,4.8,7180.88
631.93,9.4,27918.67
733.38,9.11,30432.37
132.44,11.64,8972.12
716.11,7.14,18253.5
909.12,3.29,4920.2
180.5,10.07,9151.79
238.31,16.6,32834.35
971.42,13.28,85659.04
181.8,6.77,4166.21
854.53,18.71,149570.14
492.79,18.24,81975.03
247.98,4.19,2176.78
870.88,0.79,271.76
445.86,14.83,49028.75
515.3,16.55,70570.98
359.87,19.36,67441.37
593.36,17.8,94000.09
164.36,12.01,11853.65
391.69,10.6,22005.14
969.44,0.56,152.01
258.88,4.93,3146.03
657.08,9.19,27747.21
325.86,12.57,25743.74
773.7,11.15,48094.16
131.74,14.85,14525.82
969.85,5.6,15207.25
454.34,11.3,29007.34
236.81,1.76,366.77
74.42,8.27,2544.9
170.59,15.0,19191.38
520.25,13.87,50042.04
337.67,19.81,66256.95
829.05,5.56,12814.46
431.46,9.96,21400.76
249.47,6.59,5417.0
617.53,8.81,23965.14
707.07,17.14,103861.37
167.87,13.68,15707.8
168.45,17.65,26237.98
37.63,4.07,311.67
736.67,17.47,112416.17
664.14,1.2,478.18
475.16,17.77,75021.33
844.33,6.58,18278.22
805.86,6.29,15941.56
585.77,10.24,30711.22
868.4,18.81,153626.95
206.64,0.96,95.22
112.81,7.04,2795.52
270.48,17.13,39684.41
58.03,7.92,1820.01
531.64,3.98,4210.7
936.67,8.5,33837.2
40.3,7.71,1197.8
122.99,18.31,20616.57
452.75,15.24,52577.31
933.94,10.1,47635.61
316.84,19.77,61918.92
507.73,9.31,22004.03
42.53,1.16,28.61
149.19,5.25,2056.02
986.64,8.72,37511.26
965.15,3.14,4758.0
5.94,18.95,1066.53
951.86,15.34,111993.75
639.48,5.37,9220.31
868.05,11.82,60638.67
455.29,14.43,47401.36
516.08,18.83,91492.96
489.36,17.63,76050.68
667.2,10.3,35391.62
140.51,15.49,16856.99
30.94,11.24,1954.44
308.62,11.05,18841.64
704.98,2.29,1848.49
202.65,2.52,643.45
673.76,10.59,37780.45
969.94,5.38,14037.17
94.81,0.42,8.36
672.93,14.46,70352.01
444.31,0.65,93.86
868.27,11.91,61581.22
177.97,10.78,10340.8
692.93,19.38,130126.85
838.28,9.68,39274.42
944.67,1.27,761.83
683.56,11.03,41581.26
497.68,16.82,70399.92
618.23,19.94,122905.24
869.04,8.61,32211.88
571.04,6.41,11731.47
31.36,18.13,5153.97
931.02,3.82,6792.91
689.84,12.31,52267.83
676.84,8.11,22258.59
216.46,0.82,72.77
659.23,6.95,15921.23
394.47,5.3,5540.33
651.58,13.72,61326.19
107.49,18.98,19361.12
658.19,5.36,9454.77
999.41,16.23,131628.74
49.16,1.11,30.29
977.2,10.76,56568.94
407.5,1.41,405.08
870.88,18.68,151943.48
782.6,15.33,91958.98
567.45,13.16,49137.08
738.71,16.48,100313.27
878.64,12.95,73675.06
404.74,19.38,76007.02
327.71,14.28,33413.05
667.93,18.49,114175.99
808.04,10.34,43196.04
762.52,2.34,2087.63
798.02,10.56,44495.04
436.15,2.54,1406.93
818.02,11.85,57434.21
121.09,9.65,5638.1
544.94,12.45,42233.53
6.75,0.2,0.14
325.26,3.9,2473.6
367.1,9.83,17736.23
396.78,19.01,71694.2
695.77,7.67,20465.69
389.17,8.49,14025.71
449.24,14.29,45868.32
238.31,12.08,17387.86
373.88,5.98,6685.05
228.04,8.22,7704.15
74.12,4.35,701.27
603.85,19.32,112697.25
668.54,2.61,2277.08
619.87,7.44,17156.02
464.03,0.52,62.74
380.41,4.44,3749.63
863.47,15.61,105201.77
519.56,4.02,4198.15
479.7,1.6,614.02
26.62,9.49,1198.7
341.91,0.2,6.84
380.82,1.7,550.28
399.42,16.15,52088.86
580.59,15.43,69114.86
534.07,18.3,89427.35
608.3,17.09,88832.51
765.12,13.66,71384.01
813.17,1.05,448.26
718.4,15.66,88088.63
955.57,16.91,136621.71
19.21,15.98,2452.74
196.58,10.17,10166.03
8.56,4.66,92.94
647.83,16.91,92622.88
898.13,14.54,94937.55
244.24,19.62,47009.41
927.11,3.11,4483.55
61.21,4.51,622.51
934.5,4.24,8400.03
352.27,15.85,44249.08
102.32,3.74,715.61
486.39,1.33,430.19
257.52,19.97,51349.6
285.59,0.5,35.7
307.98,16.7,42946.27
803.22,7.31,21460.47
539.62,16.83,76423.39
312.0,11.09,19186.14
610.72,18.03,99266.7
716.43,18.52,122864.31
273.35,0.18,4.43
414.14,1.51,472.14
122.76,5.01,1540.64
181.97,13.39,16312.89
681.44,17.77,107590.14
182.26,9.2,7713.24
525.64,12.14,38734.31
709.34,3.77,5040.89
107.77,16.1,13967.53
567.74,19.35,106287.32
257.31,5.37,3710.01
962.96,9.9,47189.85
484.06,1.72,716.02
806.19,11.18,50383.81
550.68,10.06,27865.4
44.37,2.89,185.29
633.52,8.84,24753.4
951.45,6.68,21227.99
602.01,10.44,32807.62
819.37,11.71,56177.69
884.32,0.17,12.78
228.85,15.22,26506.37
212.83,14.26,21639.23
611.37,7.33,16424.12
411.62,1.06,231.25
840.02,15.1,95766.48
900.12,19.1,164186.39
354.07,4.8,4078.89
237.63,6.47,4973.7
780.74,3.68,5286.55
275.53,11.54,18346.39
822.79,3.1,3953.51
424.31,7.12,10755.07
667.88,13.94,64892.42
96.44,11.2,6048.72
624.24,7.73,18650.08
452.32,8.4,15957.85
587.02,11.24,37081.35
168.85,0.12,1.22
737.14,1.57,908.49
862.93,17.63,134106.61
217.52,1.56,264.68
96.62,14.14,9659.08
24.61,18.4,4165.98
642.33,5.41,9399.89
607.49,7.41,16678.06
547.15,11.38,35429.17
232.72,17.63,36166.65
391.52,18.84,69484.15
594.88,14.79,65063.25
497.27,1.73,744.14
987.8,13.38,88420.15
137.3,8.21,4627.29
695.45,9.41,30790.39
404.91,0.98,194.44
428.77,3.82,3128.39
717.88,15.81,89719.24
692.74,9.08,28556.96
991.26,6.03,18021.55
129.27,7.68,3812.33
105.01,17.09,15335.04
724.61,14.98,81301.39
578.81,5.45,8596.05
274.89,2.35,759.04
80.34,5.04,1020.38
86.57,18.42,14686.44
894.3,11.63,60480.12
192.68,10.67,10968.2
324.05,11.93,23060.19
227.43,7.32,6093.12
355.64,16.14,46322.04
70.35,10.47,3855.92
519.54,2.33,1410.27
68.54,2.58,228.11
800.56,10.74,46171.34
234.48,18.73,41129.3
540.47,6.17,10287.55
880.2,17.39,133091.57
651.23,15.28,76024.07
533.42,4.96,6561.49
325.01,0.73,86.6
333.67,2.04,694.3
669.82,14.57,71096.34
994.15,3.99,7913.48
662.18,7.43,18277.79
558.23,10.03,28079.22
730.92,14.51,76943.98
465.74,2.26,1189.41
61.08,8.13,2018.6
562.73,9.7,26473.63
957.67,10.82,56058.36
176.13,16.37,23599.39
690.31,3.43,4060.71
201.73,16.16,26340.45
536.29,13.86,51510.55
97.58,11.12,6033.1
450.92,13.99,44127.05
756.41,8.24,25679.21
348.22,2.77,1335.93
665.25,13.32,59015.13
795.65,10.49,43776.7
927.25,12.79,75841.68
235.41,6.76,5378.84
399.92,18.14,65798.76
153.26,11.75,10579.73
992.49,1.71,1451.07
927.07,9.0,37546.34
540.42,15.13,61855.64
842.19,15.88,106189.38
521.44,9.89,25501.57
623.96,17.89,99849.85
90.04,5.35,1288.58
755.52,8.21,25462.57
128.59,17.97,20762.2
826.24,17.93,132811.84
782.25,13.71,73517.46
709.04,17.18,104637.43
37.12,1.78,58.81
303.83,17.3,45466.64
263.85,6.41,5420.55
360.78,3.57,2299.05
88.56,4.79,1015.96
937.02,8.36,32743.98
554.25,5.02,6983.66
306.22,6.41,6291.0
397.58,2.7,1449.18
447.76,5.92,7846.19
600.99,11.45,39395.65
516.16,8.84,20167.82
919.47,6.93,22078.73
497.47,14.93,55444.25
992.17,17.87,158418.25
851.57,15.14,97598.27
209.3,6.64,4613.98
930.66,14.89,103169.29
117.25,3.04,541.79
817.63,2.61,2784.89
381.24,6.91,9101.74
878.1,16.15,114514.12
868.19,4.93,10550.64
806.12,1.27,650.1
790.24,2.63,2733.01
305.37,17.17,45012.9
81.84,12.68,6579.22
403.58,5.06,5166.55
174.35,11.11,10760.19
695.26,10.55,38692.09
346.75,13.11,29798.33
975.63,4.66,10593.2
641.33,17.29,95860.91
822.66,6.19,15760.56
133.39,13.88,12849.09
862.15,0.32,44.14
922.83,7.45,25609.69
487.57,7.03,12048.07
606.65,10.87,35839.94
765.04,1.45,804.25
175.66,15.8,21925.88
503.06,4.36,4781.48
399.26,13.54,36598.49
147.23,16.06,18987.05
368.17,11.24,23256.86
69.1,14.82,7588.3
26.79,13.24,2348.11
136.03,7.11,3438.3
963.15,16.18,126072.68
549.98,5.89,9539.98
965.86,11.42,62981.99
433.07,14.91,48137.48
312.5,7.58,8977.56
506.64,6.06,9302.82
440.07,9.19,18583.3
106.56,16.36,14260.37
641.19,18.6,110913.05
216.82,10.9,12880.19
619.97,13.23,54257.57
650.55,18.07,106210.39
152.87,1.97,296.64
62.29,4.64,670.54
780.98,14.18,78516.76
460.34,16.47,62436.12
59.11,17.14,8682.66
994.87,8.3,34268.3
58.72,1.79,94.07
695.34,8.76,26679.36
983.7,4.61,10452.85
239.94,5.82,4063.67
143.11,15.45,17080.36
122.26,1.51,139.38
303.97,16.55,41629.07
101.94,8.55,3726.03
692.47,11.92,49195.28
63.23,1.79,101.3
509.91,6.75,11616.39
996.7,1.79,1596.76
814.16,19.23,150535.29
615.6,16.15,80281.17
306.95,9.19,12961.9
624.27,4.47,6236.74
527.51,18.67,91936.79
426.66,6.89,10127.22
131.58,3.22,682.14
886.72,11.26,56212.55
450.33,18.88,80261.05
195.43,0.08,0.63
368.39,4.76,4173.42
414.72,18.77,73055.6
827.71,3.42,4840.61
733.88,2.26,1874.18
769.54,11.4,50004.71
12.02,17.24,1786.28
416.74,9.54,18964.09
481.86,19.89,95314.82
20.17,13.58,1859.84
260.55,1.48,285.35
760.53,19.86,149983.97
137.97,8.16,4593.41
535.77,5.75,8856.95
215.99,11.16,13450.3
13.11,6.09,243.11
241.96,1.73,362.08
975.9,0.03,0.44
801.74,8.99,32398.35
959.62,16.74,134456.0
488.37,11.45,32013.26
110.63,19.98,22081.77
548.41,5.74,9034.4
454.92,5.61,7158.64
844.51,3.19,4296.91
98.98,3.28,532.43
488.75,5.7,7939.74
150.9,15.86,18978.66
325.35,18.12,53411.8
737.62,19.5,140240.0
476.54,4.65,5151.99
376.51,17.63,58512.84
395.08,6.57,8526.79
459.99,2.26,1174.72
785.23,17.4,118868.12
892.19,12.72,72177.46
955.38,3.29,5170.56
787.12,8.6,29107.7
316.09,5.75,5225.36
688.45,14.74,74788.94
438.17,9.07,18023.01
255.42,19.79,50016.87
841.03,1.09,499.61
39.39,7.1,992.82
901.86,9.64,41904.74
462.02,10.06,23379.04
637.56,6.32,12732.84
659.69,14.58,70117.26
895.22,17.49,136923.94
637.03,18.77,112216.94
614.32,16.1,79618.94
67.59,17.01,9778.25
518.89,11.01,31449.95
151.02,16.52,20607.46
737.7,6.07,13590.24
512.71,7.97,16283.9
680.55,6.34,13677.56
42.63,9.35,1863.41
85.71,5.71,1397.25
716.61,19.23,132498.65
73.01,6.26,1430.54
72.19,1.96,138.66
13.1,10.54,727.65
956.54,1.14,621.56
737.77,2.21,1801.67
353.9,4.39,3410.2
297.24,9.29,12826.52
350.35,8.67,13167.71
774.88,15.99,99060.7
661.71,14.79,72372.58
186.01,8.53,6767.13
174.94,6.67,3891.44
99.3,6.33,1989.42
660.64,15.48,79154.71
764.61,1.04,413.5
265.78,0.26,8.98
21.92,15.91,2774.28
83.09,9.54,3781.08
967.89,2.62,3321.99
296.15,4.71,3284.91
769.45,18.65,133816.01
625.04,17.19,92348.44
382.56,14.2,38569.7
206.48,9.64,9594.05
122.27,10.41,6625.08
615.4,19.5,117002.92
774.86,19.32,144613.05
644.26,4.31,5983.92
530.77,16.22,69819.72
42.91,3.94,333.06
968.52,4.27,8829.46
798.92,13.52,73017.45
293.53,8.1,9629.25
979.99,18.63,170065.95
602.28,1.78,954.13
582.84,10.23,30497.95
748.33,18.37,126264.56
811.96,18.08,132709.34
656.82,3.13,3217.4
128.97,7.33,3464.71
338.93,12.38,25972.95
928.16,3.19,4722.52
225.39,19.36,42239.17
372.79,18.29,62353.62
432.64,3.34,2413.18
439.97,2.42,1288.32
613.33,1.71,896.72
943.13,18.19,156029.59
241.45,3.87,1808.09
122.38,8.33,4245.91
198.27,8.98,7994.29
887.04,11.98,63654.17
646.17,1.43,660.68
286.62,4.54,2953.85
816.13,18.63,141629.94
861.51,18.17,142213.29
846.67,15.63,103419.43
919.01,0.39,69.89
252.99,6.54,5410.39
755.29,12.56,59574.86
461.08,5.5,6973.84
842.16,18.19,139325.31
728.76,12.68,58585.89
776.67,1.44,805.25
656.51,18.18,108492.35
178.25,19.16,32718.29
545.48,1.55,655.26
984.69,10.65,55843.0
937.45,6.07,17270.13
44.13,7.86,1363.17
165.65,3.59,1067.46
132.6,11.56,8859.91
726.25,19.16,133305.22
817.97,10.06,41390.75
214.3,1.66,295.26
506.35,12.4,38928.19
840.86,6.8,19440.68
733.07,17.12,107429.36
542.69,8.69,20490.92
590.76,3.86,4401.04
508.85,3.82,3712.67
298.25,15.38,35274.68
565.46,5.31,7971.88
689.2,15.34,81089.76
873.45,4.12,7413.14
636.66,6.43,13161.32
761.36,9.31,32995.86
160.91,18.86,28617.81
462.1,18.63,80192.12
10.32,4.14,88.44
247.43,7.16,6342.32
726.74,2.99,3248.56
991.82,10.2,51594.48
100.08,9.21,4244.6
402.09,18.02,65283.41
800.27,18.6,138430.7
204.83,7.67,6024.96
555.53,9.83,26840.13
733.34,17.92,117747.42
616.37,16.13,80182.62
188.84,0.07,0.46
356.03,6.4,7291.49
784.01,8.44,27923.93
554.67,4.59,5842.92
6.22,3.99,49.51
761.23,0.76,219.84
36.28,12.87,3004.65
745.99,5.25,10280.67
203.28,1.05,112.06
958.12,4.62,10225.25
368.57,16.04,47413.14
327.6,17.03,47505.42
149.74,9.66,6986.54
306.3,8.32,10601.41
876.77,19.56,167723.3
996.34,4.01,8010.62
368.94,4.31,3426.73
449.16,5.84,7659.44
722.35,3.46,4323.84
886.31,7.59,25529.32
593.45,18.22,98503.32
392.13,12.31,29710.93
413.21,8.24,14027.98
695.92,18.69,121548.03
4.22,0.97,1.99
619.97,4.21,5494.21
356.14,11.32,22818.32
794.4,12.31,60190.14
93.9,0.79,29.3
588.61,8.06,19119.11
481.49,12.98,40560.81
642.68,13.96,62623.25
65.79,12.76,5355.88
580.4,6.41,11923.77
561.92,1.87,982.49
561.1,8.54,20460.96
603.88,2.58,2009.83
676.79,18.95,121518.49
805.18,9.5,36333.75
270.55,6.35,5454.63
825.22,15.33,96967.02
498.76,9.96,24738.9
77.98,6.2,1498.78
59.49,16.24,7844.87
334.9,17.34,50348.13
785.11,13.46,71119.82
707.97,0.94,312.78
788.83,11.33,50630.62
517.75,15.27,60362.63
440.76,2.73,1642.47
148.31,4.57,1548.72
328.86,17.65,51223.64
434.59,0.4,34.77
89.51,15.05,10137.12
221.39,9.48,9948.2
598.63,8.94,23922.33
735.93,0.14,7.21
998.35,16.39,134094.43
933.18,7.2,24188.03
642.92,10.82,37634.09
421.83,13.55,38724.52
636.54,14.05,62827.29
785.87,19.12,143646.98
119.22,10.63,6735.75
410.49,7.99,13102.86
839.96,19.07,152731.98
384.45,12.84,31691.29
572.3,5.96,10164.51
588.18,2.53,1882.44
185.29,16.85,26304.0
362.87,7.24,9510.39
335.18,13.21,29245.14
27.17,9.42,1205.48
25.17,3.98,199.35
831.87,12.03,60194.49
273.8,1.21,200.44
518.56,8.27,17732.91
299.43,10.93,17885.69
940.74,8.72,35766.18
260.04,14.97,29137.6
430.23,16.56,58991.76
872.86,15.42,103772.75
842.09,0.78,256.16
186.92,3.88,1406.98
802.84,10.73,46216.65
458.73,18.7,80206.65
483.49,16.7,67420.26
134.35,16.85,19072.49
81.52,6.06,1496.85
728.21,8.59,26866.62
496.96,9.41,22002.43
437.41,3.15,2170.1
729.78,0.62,140.26
765.75,18.94,137346.3
159.75,4.81,1848.0
610.61,4.8,7034.23
136.22,1.67,189.95
751.62,18.57,129596.16
657.3,11.59,44146.93
956.66,13.34,85121.5
69.89,18.23,11613.37
58.0,6.91,1384.69
282.9,12.43,21854.72
262.44,0.78,79.83
247.73,3.74,1732.57
906.35,16.62,125177.99
250.3,15.34,29449.75
272.68,7.01,6699.76
759.64,7.54,21593.37
450.29,10.67,25632.51
776.93,0.0,0.0
66.3,4.82,770.15
488.08,4.16,4223.26
34.58,5.01,433.98
63.59,16.12,8262.07
906.53,5.59,14163.67
140.11,3.83,1027.63
532.89,10.09,27126.26
411.68,17.31,61677.09
348.0,4.83,4059.23
899.93,1.57,1109.12
22.8,7.13,579.54
664.13,14.95,74217.36
963.43,11.01,58393.54
560.61,16.34,74840.2
936.89,19.19,172507.73
53.21,15.85,6683.77
419.37,12.08,30598.58
260.9,9.87,12708.03
731.09,0.8,233.95
981.32,19.69,190226.97
257.27,7.67,7567.46
654.52,3.04,3024.41
198.9,13.33,17671.16
565.76,5.69,9158.55
464.47,11.72,31899.43
972.03,11.74,66986.28
608.92,8.91,24170.5
350.16,16.72,48945.08
114.98,5.3,1614.89
152.1,8.97,6119.05
226.09,10.75,13063.76
251.72,13.27,22163.05
850.77,15.68,104586.18
561.66,7.9,17526.6
523.87,12.92,43723.87
115.65,3.01,523.9
860.28,18.65,149612.37
723.09,7.66,21213.87
68.6,14.59,7301.38
708.13,0.41,59.52
543.99,4.1,4572.24
82.64,9.74,3919.93
458.84,17.57,70823.08
485.21,10.55,27002.54
166.61,18.6,28820.2
945.75,9.68,44309.52
850.13,9.81,40906.6
669.35,2.39,1911.7
462.83,16.05,59613.08
412.35,4.94,5031.41
651.32,17.99,105396.63
545.89,18.22,90609.11
63.21,18.87,11253.81
512.99,10.4,27742.5
806.6,13.54,73937.63
459.78,15.57,55731.06
52.9,2.62,181.56
786.49,12.02,56816.19
202.16,0.69,48.12
259.36,9.95,12838.64
165.54,3.1,795.42
330.88,3.66,2216.17
756.99,7.3,20170.0
519.87,8.65,19448.99
205.68,12.46,15966.07
877.95,1.49,974.57
879.7,10.07,44602.95
870.71,3.65,5800.02
239.56,11.48,15785.85
451.79,12.75,36722.06
985.0,11.13,61009.37
772.24,14.77,84233.2
28.14,6.71,633.49
66.14,15.3,7741.36
464.47,8.66,17416.6
909.31,9.68,42602.26
539.16,12.96,45279.09
498.31,0.37,34.11
106.37,13.08,9099.23
657.12,12.37,50275.23
822.28,6.2,15804.22
381.04,1.72,563.63
775.84,1.82,1284.95
964.51,18.46,164338.81
204.56,13.79,19449.98
523.81,2.54,1689.71
287.85,7.13,7316.7
793.06,11.85,55681.73
578.02,16.71,80698.56
634.95,0.87,240.3
798.12,4.73,8928.13
396.57,17.79,62754.05
915.17,0.18,14.83
533.5,4.03,4332.26
158.8,19.18,29209.07
696.2,12.27,52407.46
793.47,5.23,10851.85
317.44,1.34,285.0
857.32,0.56,134.43
906.24,4.89,10835.05
277.63,17.63,43146.05
983.54,8.32,34041.5
141.57,14.41,14698.37
202.81,18.37,34219.82
185.04,8.16,6160.5
894.1,3.83,6557.73
654.64,10.34,34995.61
152.95,18.16,25220.35
440.88,16.09,57069.29
615.68,1.32,536.38
84.38,13.85,8092.99
882.53,11.44,57749.94
803.8,18.15,132394.9
505.7,2.45,1517.73
967.16,10.68,55158.3
418.34,17.59,64718.89
984.13,8.2,33086.45
668.25,9.64,31050.1
635.04,1.41,631.26
166.79,5.56,2578.04
882.05,6.49,18576.02
428.06,18.9,76453.66
163.07,5.65,2602.8
13.59,9.22,577.63
560.2,13.43,50520.21
527.87,3.24,2770.68
719.63,9.73,34064.73
890.37,14.77,97118.4
80.33,17.34,12076.64
731.76,12.53,57443.49
188.22,13.38,16847.99
858.32,2.53,2747.01
819.24,18.92,146630.2
541.25,2.65,1900.46
710.53,15.49,85242.32
315.04,5.3,4424.74
471.7,18.67,82209.98
821.82,14.4,85206.3
459.81,15.08,52281.87
358.44,4.38,3438.23
494.72,8.86,19417.66
828.42,12.36,63278.7
335.87,15.4,39827.46
174.59,2.08,377.67
712.3,19.25,131975.83
826.15,17.8,130878.68
101.54,5.41,1485.94
240.63,16.46,32597.14
142.83,10.37,7679.75
348.59,9.24,14880.89
450.9,6.29,8919.73
749.08,11.62,50572.04
651.5,14.6,69436.87
621.31,8.22,20990.46
353.02,12.58,27933.84
841.61,13.99,82360.0
471.82,14.22,47702.98
979.13,1.04,529.51
634.51,17.19,93747.62
127.14,9.17,5345.53
676.5,5.25,9323.02
325.78,4.84,3815.8
